Year,Month,Day,Hour,Minute,Ta,Ta_flag,Td,Td_flag,RH,Pa,Pa_flag,GHI,DNI,DHI,CS_GHI,CS_DNI,CS_DHI,WD,WD_flag,WS,WS_flag,PCW,PC_1hr,PC_6hr,Zenith
2001,1,1,1,0,-4.4,0,-11.7,0,56.6,100931,0,0,0,0,0,0,0,280,0,7.7,0,0.593,0,999,160.6
2001,1,1,2,0,-4.4,0,-12.8,0,51.8,101011,0,0,0,0,0,0,0,270,0,6.7,0,0.566,0,999,153.8
2001,1,1,3,0,-4.4,0,-12.2,0,54.3,101070,0,0,0,0,0,0,0,290,0,6.2,0,0.543,0,999,143.8
2001,1,1,4,0,-5,0,-11.7,0,59.2,101099,0,0,0,0,0,0,0,300,0,7.2,0,0.522,0,999,132.7
2001,1,1,5,0,-4.4,0,-11.1,0,59.4,101120,0,0,0,0,0,0,0,300,0,4.1,0,0.501,0,999,121.4
2001,1,1,6,0,-4.4,0,-10.6,0,61.8,101219,0,0,0,0,0,0,0,280,0,5.7,0,0.484,0,999,110.2
2001,1,1,7,0,-5,0,-10.6,0,64.7,101238,0,0,0,0,0,0,0,310,0,6.7,0,0.473,0,999,99.4
2001,1,1,8,0,-5,0,-10.6,0,64.7,101357,0,18.5,111,8,18.5,111,8,310,0,7.2,0,0.468,0,999,89.3
2001,1,1,9,0,-4.4,0,-10.6,0,61.8,101468,0,152,592.3,47.3,152,592.3,47.3,300,0,4.1,0,0.468,0,999,80.3
2001,1,1,10,0,-3.3,0,-11.1,0,54.7,101480,0,299.3,766.5,70.3,299.3,766.5,70.3,320,0,6.2,0,0.478,0,999,72.7
2001,1,1,11,0,-2.2,0,-10.6,0,52.4,101453,0,410,835,86.5,410,835,86.5,330,0,6.2,0,0.495,0,999,67.2
2001,1,1,12,0,-1.7,0,-10.6,0,50.5,101434,0,467.8,853,97.5,467.8,853,97.5,330,0,6.2,0,0.508,0,999,64.3
2001,1,1,13,0,-0.6,0,-10.6,0,46.6,101386,0,466.3,841.3,101,466.3,841.3,101,320,0,6.7,0,0.514,0,999,64.3
2001,1,1,14,0,-0.6,0,-10.6,0,46.6,101376,0,405.8,800.5,95.5,405.8,800.5,95.5,310,0,6.2,0,0.518,0,999,67.2
2001,1,1,15,0,-0.6,0,-10,0,48.9,101406,0,292.8,711.3,80.5,292.8,711.3,80.5,340,0,4.1,0,0.521,0,999,72.8
2001,1,1,16,0,-0.6,0,-10.6,0,46.6,101466,0,146,516.5,53.8,146,516.5,53.8,330,0,5.2,0,0.519,0,999,80.3
2001,1,1,17,0,-0.6,0,-10.6,0,46.6,101515,0,17.3,89.8,8.8,17.3,89.8,8.8,320,0,5.7,0,0.513,0,999,89.4
2001,1,1,18,0,-1.7,0,-10.6,0,50.5,101563,0,0,0,0,0,0,0,320,0,5.2,0,0.505,0,999,99.5
2001,1,1,19,0,-1.7,0,-11.7,0,46.3,101603,0,0,0,0,0,0,0,340,0,4.6,0,0.495,0,999,110.3
2001,1,1,20,0,-2.2,0,-11.7,0,48,101652,0,0,0,0,0,0,0,330,0,4.6,0,0.487,0,999,121.5
2001,1,1,21,0,-3.3,0,-11.7,0,52.1,101689,0,0,0,0,0,0,0,330,0,5.7,0,0.482,0,999,132.8
2001,1,1,22,0,-3.9,0,-12.2,0,52.3,101708,0,0,0,0,0,0,0,330,0,5.7,0,0.483,0,999,143.8
2001,1,1,23,0,-3.9,0,-12.2,0,52.3,101718,0,0,0,0,0,0,0,330,0,6.7,0,0.488,0,999,153.8
2001,1,1,24,0,-4,0,-13,0,49.4,101708,0,0,0,0,0,0,0,340,0,5.2,0,0.494,0,999,160.6
2001,1,2,1,0,-5.6,0,-12.8,0,56.7,101684,0,0,0,0,0,0,0,340,0,5.2,0,0.498,0,999,160.6
2001,1,2,2,0,-5.6,0,-13.3,0,54.4,101694,0,0,0,0,0,0,0,360,0,4.1,0,0.499,0,999,153.8
2001,1,2,3,0,-5.6,0,-13.3,0,54.4,101724,0,0,0,0,0,0,0,360,0,3.6,0,0.497,0,999,143.8
2001,1,2,4,0,-5.6,0,-13.3,0,54.4,101704,0,0,0,0,0,0,0,20,0,2.6,0,0.49,0,999,132.7
2001,1,2,5,0,-6.1,0,-13.3,0,56.6,101723,0,0,0,0,0,0,0,350,0,2.1,0,0.48,0,999,121.4
2001,1,2,6,0,-6.1,0,-12.2,0,61.9,101783,0,0,0,0,0,0,0,300,0,4.1,0,0.467,0,999,110.2
2001,1,2,7,0,-6.1,0,-11.7,0,64.4,101842,0,0,0,0,0,0,0,310,0,5.2,0,0.453,0,999,99.4
