Year,Month,Day,Hour,Minute,Ta,Ta_flag,Td,Td_flag,RH,Pa,Pa_flag,GHI,DNI,DHI,CS_GHI,CS_DNI,CS_DHI,WD,WD_flag,WS,WS_flag,PCW,PC_1hr,PC_6hr,Zenith
2001,1,1,1,0,-4.4,0,-10.6,0,61.8,101545,0,0,0,0,0,0,0,280,0,10.3,0,0.604,0,999,160.7
2001,1,1,2,0,-4.4,0,-10.6,0,61.8,101585,0,0,0,0,0,0,0,280,0,7.2,0,0.575,0,999,153.7
2001,1,1,3,0,-4.4,0,-10.6,0,61.8,101665,0,0,0,0,0,0,0,280,0,7.7,0,0.549,0,999,143.7
2001,1,1,4,0,-4.4,0,-10.6,0,61.8,101695,0,0,0,0,0,0,0,290,0,9.8,0,0.528,0,999,132.5
2001,1,1,5,0,-4.4,0,-10,0,64.8,101735,0,0,0,0,0,0,0,290,0,7.7,0,0.508,0,999,121.2
2001,1,1,6,0,-4.4,0,-10,0,64.8,101785,0,0,0,0,0,0,0,270,0,4.6,0,0.49,0,999,110
2001,1,1,7,0,-4.4,0,-9.4,0,68,101865,0,0,0,0,0,0,0,280,0,6.2,0,0.48,0,999,99.2
2001,1,1,8,0,-4.4,0,-9.4,0,68,101995,0,19.3,111.5,8.3,19.3,111.5,8.3,290,0,6.2,0,0.476,0,999,89.1
2001,1,1,9,0,-3.9,0,-9.4,0,65.5,102065,0,155,591.8,48.3,155,591.8,48.3,300,0,7.2,0,0.475,0,999,80.1
2001,1,1,10,0,-3.3,0,-8.9,0,65.1,102095,0,302.3,763.3,72,302.3,763.3,72,300,0,7.7,0,0.483,0,999,72.5
2001,1,1,11,0,-2.8,0,-8.3,0,65.7,102045,0,412.8,828.8,89,412.8,828.8,89,310,0,8.2,0,0.501,0,999,67
2001,1,1,12,0,-1.7,0,-8.9,0,57.8,102035,0,469.5,843,101.8,469.5,843,101.8,300,0,7.7,0,0.514,0,999,64.1
